poggers	3.1	2.07123	[4, 4, 4, 4, 3, 4, 4, 3, 4, -3]
pog	3.0	2.04939	[4, 4, 3, 3, 3, 4, 4, 4, 4, -3]
pogchamp	2.7	1.61555	[4, 4, 2, 3, 4, 4, 4, 1, 2, -1]
monkas	0.5	2.80179	[3, -2, 3, -1, 2, 4, -3, -2, 4, -3]
kekw	0.7	2.2383	[4, 3, 1, 1, 0, 2, 2, -4, 0, -2]
omegalul	0.7	2.72213	[4, 4, -2, 1, 1, 4, 2, -4, -1, -2]
pepega	-1.4	1.74356	[-2, -2, 1, -2, 0, 1, -4, -4, 0, -2]
lulw	-0.1	2.38537	[3, 3, 1, 0, 0, 1, 1, -4, -4, -2]
femboy	1.3	2.32594	[-1, 2, 4, 0, 4, -3, 0, 4, 3, 0]
femoid	-0.7	3.0348	[0, -2, -4, -3, 2, -4, -4, 4, 4, 0]
based	3.2	1.07703	[2, 4, 4, 3, 1, 4, 4, 4, 4, 2]
redpilled	0.7	2.2383	[-3, 4, 4, -1, 2, 2, -2, 0, 0, 1]
blackpilled	0.7	3.16386	[-4, -4, 3, -3, 3, 3, -1, 4, 4, 2]
reagan	-3.6	1.2	[-4, -4, -4, -4, -4, 0, -4, -4, -4, -4]
incel	-2.6	1.28062	[-4, -3, -3, -2, 0, -4, -3, -2, -4, -1]
cuck	-1.6	2.24499	[-3, -3, -2, -3, 2, 2, -4, -2, -4, 1]
cuckold	-2.3	1.67631	[-3, -3, -2, -2, -1, -3, -3, -4, -4, 2]
cucked	-1.6	2.33238	[-4, -3, -3, -3, 3, -2, -2, -4, 0, 2]
uwu	1.2	2.92575	[4, 1, 3, 1, 0, 4, 3, -4, -4, 4]
owo	1.8	2.35797	[4, 1, 2, 1, 0, 3, 3, -4, 4, 4]
kek	1.3	2.14709	[2, 2, 3, 1, -1, 2, 2, -4, 4, 2]
gay	0.8	1.93907	[0, -1, 3, 0, 3, -1, -2, 2, 4, 0]
tranny	-2.4	1.28062	[-2, -2, -1, -2, -3, -2, -4, -4, -4, 0]
tankie	-1.5	1.5	[0, -2, 1, -3, -1, -2, -3, -4, 0, -1]
commie	-0.9	1.75784	[0, -2, 2, -3, 0, 1, -2, -4, 0, -1]
trump	-2.5	1.68819	[-4, -4, -4, -4, -1, 0, 0, -4, -3, -1]
chungus	1.0	2.60768	[3, 3, 3, 1, -1, 2, 2, -4, 4, -3]
wholesome	1.5	2.97489	[4, 3, 4, 2, -4, 4, 3, -4, 3, 0]
whore	-1.1	2.16564	[-3, -3, -2, -1, 3, -2, -3, 3, -2, -1]
horny	0.7	2.32594	[0, 3, -2, 1, 4, -4, 0, 2, 0, 3]
wap	0.9	2.07123	[0, 1, 2, 1, 0, -4, 0, 4, 2, 3]
elite	1.1	2.42693	[-1, 3, 3, 3, -1, 1, 3, -4, 0, 4]
kappa	-0.7	2.1	[-1, 3, 1, -1, -3, -2, 2, -4, 0, -2]
sadge	-0.6	2.76405	[-3, -3, -2, -2, 1, 1, -2, 4, 4, -4]
420	3.5	0.80623	[4, 2, 4, 3, 4, 4, 4, 2, 4, 4]
cringe	-0.6	2.61534	[-4, -2, -2, -3, -1, 3, 4, 2, -3, 0]
normie	-1.6	2.05913	[-3, -2, -3, -4, -2, 0, -4, 3, -1, 0]
